日期,標題,連結,新聞露出整理,議題分類,議題標籤
2023/03/29,"七成家長反對刪除懲戒權
管教不是暴力 家長不是兇手
捍衛家長合理管教權 反對缺乏配套的粗暴修法",20230329【國教行動聯盟新聞稿,新聞露出8篇,兒童保護與權益,"兒少權法
兒虐防治"
2023/05/11,"有效預防即時輔導降低霸凌傷害
國教盟與橄欖枝中心攜手防制霸凌",20230511【國教行動聯盟新聞稿】,無,校園安全與管理,校園霸凌
2023/06/20,"教保人員辛苦了！
國教盟呼籲家長信任幼教人員
勿因噎廢食、因小失大",20230620【國教行動聯盟新聞稿】,新聞露出2篇,教育政策與改革,教師權益
2023/06/28,"有效預防 即時輔導 降低霸凌傷害
國教盟與高雄中山大學攜手防制校園霸凌",20230628【國教行動聯盟新聞稿】,無,校園安全與管理,校園霸凌
2023/06/30,"給他魚吃，不如教他釣魚
提升學生競爭力應優先於學費補貼
教育經費運用應有更精緻化考量",20230630【國教行動聯盟新聞稿】,新聞露出4篇,教育政策與改革,升學制度
2023/07/03,"支持合理管教，拒絕暴力發飆
國教盟呼籲重視家庭教育、家長也應學習求助",20230703【國教行動聯盟新聞稿】,新聞露出2篇,教育政策與改革,
2023/07/04,"【正視大麻趨勢與危害，研商保護青少年對策】
台灣第一次大麻防制論壇！
青少年大麻防制刻不容緩！
「2023臺灣青少年大麻防制因應對策論壇」",20230704【國教行動聯盟新聞稿】,新聞露出6篇,菸害與藥物防制,"加熱菸
電子煙
喪屍煙彈
加味菸
藥物濫用"
2023/07/14,"肯定性平法修法方向 
國教盟提醒仍須重視教育面、
基層學校需更多資源協助",20230714【國教行動聯盟新聞稿】,新聞露出7篇,性健康與性教育,性教育改革
2023/07/29,"肯定性別平等教育法三讀通過
國教盟提醒配套不足
呼籲對基層學校提供更多資源協助",20230729【國教行動聯盟新聞稿】,新聞露出5篇,性健康與性教育,性教育改革
2023/08/22,"霸凌防制座談引發家長熱烈迴響
國教盟與橄欖枝中心、逆風劇團攜手防制校園霸凌",20230822【國教行動聯盟新聞稿】,新聞露出4篇,校園安全與管理,校園霸凌
2023/08/31,"霸凌防制修法配套不足 預防及輔導才是重點 
呼籲對學校提供法律資源、強化師生互動、建立學生互助網絡",20230831【國教行動聯盟新聞稿】,新聞露出3篇,校園安全與管理,"校園安全
校園霸凌"
2023/09/06,"加熱菸審查欠缺嚴格把關與本土研究
9.5萬青少年恐將成受害最大族群",20230906【國教行動聯盟新聞稿】,新聞露出11篇,菸害與藥物防制,加熱菸
2023/10/23,"教育決定台灣未來！請問總統：許孩子什麼樣的未來？
「2024年全國家長最關心的十大教育議題」問卷結果出爐！
孩子的品格教育、校園安全、心理健康最被家長看重！",20231023【國教行動聯盟新聞稿】,新聞露出24篇,校園安全與管理,校園安全
2023/11/13,"近四萬問卷九成三不同意大麻合法！
民間團體呼籲落實反毒教育 釐清大麻迷思",20231113【國教行動聯盟新聞稿】,新聞露出26篇,菸害與藥物防制,"加熱菸
電子煙
喪屍煙彈
加味菸
藥物濫用"
2023/12/07,"推動友善校園、反霸凌、反歧視
應由增加輔導資源、落實品格與家庭教育做起",20231207【國教行動聯盟新聞稿】,新聞露出5篇,校園安全與管理,"校園安全
校園霸凌"
2023/12/11,"北一女教師罵課綱引關注 凸顯品格是教育重中之重
59教育團體14日邀總統候選人談教育理",20231211【國教行動聯盟新聞稿】,新聞露出21篇,教育政策與改革,
2023/12/27,"曝險少年輔導多頭馬車 校園攻擊並非偶然
國教盟呼籲檢討相關制度",20231227【國教行動聯盟新聞稿】,新聞露出28篇,校園安全與管理,"校園安全
司法少年"